date,day_of_week,income,platform,hours_worked,orders_completed,volatility_label,volatility_label_stat,rolling_mean_7,rolling_std_7,rolling_cv_7
2024-01-01,Monday,769.34,blinkit,6.43,27,low,low,769.34,0.0,0.0
2024-01-02,Tuesday,1613.95,blinkit,9.49,30,medium,medium,1191.645,597.2294584579699,0.501180685907271
2024-01-03,Wednesday,2222.86,blinkit,7.82,37,low,medium,1535.3833333333334,729.9381058920909,0.4754109869796408
2024-01-04,Thursday,1429.97,blinkit,7.94,37,low,medium,1509.0300000000002,598.3179909824987,0.39649178013856495
2024-01-05,Friday,1924.86,blinkit,8.71,37,low,medium,1592.1960000000001,550.5190564639884,0.3457608588791759
2024-01-06,Saturday,2066.18,blinkit,10.17,30,low,medium,1671.1933333333334,529.0561948098392,0.3165739021676163
2024-01-07,Sunday,1807.32,blinkit,10.08,38,low,low,1690.6399999999999,485.69289779310816,0.2872834534809943
2024-01-08,Monday,3889.95,blinkit,6.54,21,high,medium,2136.441428571429,817.759534325924,0.382767120778375
2024-01-09,Tuesday,1480.34,blinkit,6.68,20,medium,medium,2117.3542857142857,833.3972136553921,0.39360310141684535
2024-01-10,Wednesday,694.32,blinkit,6.27,21,medium,medium,1898.9914285714287,987.2034791340058,0.5198567325165118
2024-01-11,Thursday,1057.83,blinkit,7.94,32,medium,medium,1845.8285714285714,1025.931420554489,0.555810781366589
2024-01-12,Friday,0.0,blinkit,0.0,0,high,high,1570.8485714285714,1237.3864138905649,0.787718457652002
2024-01-13,Saturday,4628.68,blinkit,10.98,49,high,high,1936.92,1700.6700938845645,0.878028051692669
2024-01-14,Sunday,4168.84,blinkit,10.88,40,medium,high,2274.28,1893.922778635215,0.8327570829604161
2024-01-15,Monday,1301.68,blinkit,7.02,26,medium,high,1904.5271428571432,1774.833416227321,0.9319024004902038
2024-01-16,Tuesday,1146.98,blinkit,5.38,17,low,high,1856.904285714286,1792.4968302143723,0.9653146066841358
2024-01-17,Wednesday,304.48,blinkit,5.33,22,high,high,1801.212857142857,1840.0623863039202,1.021568538669376
2024-01-18,Thursday,2461.79,blinkit,5.38,22,medium,high,2001.7785714285715,1821.9556965929823,0.9101684484976486
2024-01-19,Friday,210.97,blinkit,5.98,21,high,high,2031.9171428571428,1784.6874104514243,0.8783268632410468
2024-01-20,Saturday,277.33,blinkit,8.99,41,medium,high,1410.2957142857144,1457.2326067224953,1.0332815961654918
2024-01-21,Sunday,0.0,blinkit,0.0,0,high,high,814.7471428571431,879.1835170147796,1.079087573025015
2024-01-22,Monday,1457.35,blinkit,7.14,32,medium,high,836.9857142857144,895.3728167427832,1.0697587801804915
2024-01-23,Tuesday,239.29,blinkit,7.02,24,high,high,707.3157142857144,908.6251916284876,1.2846104975146302
2024-01-24,Wednesday,1673.39,blinkit,8.01,29,medium,high,902.8742857142859,953.6700391969466,1.0562600511348874
2024-01-25,Thursday,1717.52,blinkit,7.63,23,low,high,796.5500000000001,775.8022429932349,0.9739529759503294
2024-01-26,Friday,897.64,blinkit,7.51,25,medium,high,894.6457142857143,731.5702961178138,0.8177206735985987
2024-01-27,Saturday,0.0,blinkit,0.0,0,high,high,855.027142857143,776.6912120809727,0.9083819368419062
2024-01-28,Sunday,1161.83,blinkit,7.21,29,medium,high,1021.0028571428572,681.8744321773208,0.6678477218814618
2024-01-29,Monday,1488.32,blinkit,7.97,36,low,high,1025.427142857143,685.2695224438901,0.6682771440343648
2024-01-30,Tuesday,4513.17,blinkit,7.39,30,high,high,1635.9814285714288,1399.6707225800003,0.8555541634737385
2024-01-31,Wednesday,167.33,blinkit,8.37,31,high,high,1420.83,1504.768833121332,1.0590773231993498
2024-02-01,Thursday,1019.5,blinkit,9.97,35,medium,high,1321.1128571428574,1504.9591190207827,1.1391601488729175
2024-02-02,Friday,1975.93,blinkit,8.15,36,medium,high,1475.1542857142856,1509.5676311100603,1.0233286414370626
2024-02-03,Saturday,691.16,blinkit,3.07,10,medium,high,1573.8914285714286,1416.7504077457045,0.9001576487595742
2024-02-04,Sunday,272.16,blinkit,10.73,38,high,high,1446.7957142857142,1497.4827296817948,1.0350339822654955
2024-02-05,Monday,1251.4,blinkit,7.77,27,medium,high,1412.95,1499.0643552118327,1.0609464986105897
2024-02-06,Tuesday,0.0,blinkit,0.0,0,high,high,768.2114285714288,702.1885456776932,0.9140563646436345
2024-02-07,Wednesday,1155.1,blinkit,6.79,24,medium,high,909.3214285714287,659.2486345436147,0.7249896613338521
2024-02-08,Thursday,1621.06,blinkit,10.22,35,low,high,995.2585714285716,713.0204183244828,0.7164172595881585
2024-02-09,Friday,1596.22,blinkit,9.2,26,low,high,941.0142857142857,636.2952396190828,0.6761802124354541
2024-02-10,Saturday,167.77,blinkit,11.76,43,high,high,866.2442857142859,698.2806841057825,0.8061013453381637
2024-02-11,Sunday,978.81,blinkit,10.27,33,medium,high,967.1942857142858,647.298754668383,0.669254113913984
2024-02-12,Monday,129.15,blinkit,4.61,17,high,high,806.8728571428572,701.8545291277562,0.8698452586607366
2024-02-13,Tuesday,1309.83,blinkit,6.29,27,medium,high,993.9914285714286,620.8095845863586,0.6245623118486952
