date,day_of_week,income,platform,hours_worked,orders_completed,volatility_label
2024-01-01,Monday,769.34,Blinkit,6.43,27,Stable
2024-01-02,Tuesday,1613.95,Blinkit,9.49,30,Volatile
2024-01-03,Wednesday,2222.86,Blinkit,7.82,37,Volatile
2024-01-04,Thursday,1429.97,Blinkit,7.94,37,Volatile
2024-01-05,Friday,1924.86,Blinkit,8.71,37,Volatile
2024-01-06,Saturday,2066.18,Blinkit,10.17,30,Volatile
2024-01-07,Sunday,1807.32,Blinkit,10.08,38,Volatile
2024-01-08,Monday,3889.95,Blinkit,6.54,21,Volatile
2024-01-09,Tuesday,1480.34,Blinkit,6.68,20,Volatile
2024-01-10,Wednesday,694.32,Blinkit,6.27,21,Volatile
2024-01-11,Thursday,1057.83,Blinkit,7.94,32,Volatile
2024-01-12,Friday,0.0,Blinkit,0.0,0,Volatile
2024-01-13,Saturday,4628.68,Blinkit,10.98,49,Volatile
2024-01-14,Sunday,4168.84,Blinkit,10.88,40,Volatile
2024-01-15,Monday,1301.68,Blinkit,7.02,26,Volatile
2024-01-16,Tuesday,1146.98,Blinkit,5.38,17,Volatile
2024-01-17,Wednesday,304.48,Blinkit,5.33,22,Volatile
2024-01-18,Thursday,2461.79,Blinkit,5.38,22,Volatile
2024-01-19,Friday,210.97,Blinkit,5.98,21,Volatile
2024-01-20,Saturday,277.33,Blinkit,8.99,41,Volatile
2024-01-21,Sunday,0.0,Blinkit,0.0,0,Volatile
2024-01-22,Monday,1457.35,Blinkit,7.14,32,Volatile
2024-01-23,Tuesday,239.29,Blinkit,7.02,24,Volatile
2024-01-24,Wednesday,1673.39,Blinkit,8.01,29,Volatile
2024-01-25,Thursday,1717.52,Blinkit,7.63,23,Volatile
2024-01-26,Friday,897.64,Blinkit,7.51,25,Volatile
2024-01-27,Saturday,0.0,Blinkit,0.0,0,Volatile
2024-01-28,Sunday,1161.83,Blinkit,7.21,29,Volatile
2024-01-29,Monday,1488.32,Blinkit,7.97,36,Volatile
2024-01-30,Tuesday,4513.17,Blinkit,7.39,30,Volatile
2024-01-31,Wednesday,167.33,Blinkit,8.37,31,Volatile
2024-02-01,Thursday,1019.5,Blinkit,9.97,35,Volatile
2024-02-02,Friday,1975.93,Blinkit,8.15,36,Volatile
2024-02-03,Saturday,691.16,Blinkit,3.07,10,Volatile
2024-02-04,Sunday,272.16,Blinkit,10.73,38,Volatile
2024-02-05,Monday,1251.4,Blinkit,7.77,27,Volatile
2024-02-06,Tuesday,0.0,Blinkit,0.0,0,Volatile
2024-02-07,Wednesday,1155.1,Blinkit,6.79,24,Volatile
2024-02-08,Thursday,1621.06,Blinkit,10.22,35,Volatile
2024-02-09,Friday,1596.22,Blinkit,9.2,26,Volatile
2024-02-10,Saturday,167.77,Blinkit,11.76,43,Volatile
2024-02-11,Sunday,978.81,Blinkit,10.27,33,Volatile
2024-02-12,Monday,129.15,Blinkit,4.61,17,Volatile
2024-02-13,Tuesday,1309.83,Blinkit,6.29,27,Volatile
2024-02-14,Wednesday,1732.84,Blinkit,8.2,37,Volatile
2024-02-15,Thursday,1367.17,Blinkit,10.25,32,Volatile
2024-02-16,Friday,0.0,Blinkit,0.0,0,Volatile
2024-02-17,Saturday,2088.22,Blinkit,9.02,31,Volatile
2024-02-18,Sunday,4038.88,Blinkit,6.99,32,Volatile
2024-02-19,Monday,0.0,Blinkit,0.0,0,Volatile
2024-02-20,Tuesday,1424.24,Blinkit,6.79,30,Volatile
2024-02-21,Wednesday,2154.31,Blinkit,7.49,28,Volatile
2024-02-22,Thursday,275.2,Blinkit,10.65,35,Volatile
2024-02-23,Friday,1048.4,Blinkit,9.36,32,Volatile
2024-02-24,Saturday,1032.18,Blinkit,9.14,37,Volatile
2024-02-25,Sunday,3028.4,Blinkit,9.85,40,Volatile
2024-02-26,Monday,1710.56,Blinkit,8.38,30,Volatile
2024-02-27,Tuesday,877.82,Blinkit,7.48,25,Volatile
2024-02-28,Wednesday,1072.76,Blinkit,5.86,19,Volatile
2024-02-29,Thursday,0.0,Blinkit,0.0,0,Volatile
2024-03-01,Friday,4254.27,Blinkit,7.9,30,Volatile
2024-03-02,Saturday,1703.93,Blinkit,7.37,23,Volatile
2024-03-03,Sunday,1474.43,Blinkit,7.21,18,Volatile
2024-03-04,Monday,2050.18,Blinkit,10.46,40,Volatile
2024-03-05,Tuesday,1707.47,Blinkit,6.61,25,Volatile
2024-03-06,Wednesday,3519.63,Blinkit,4.48,15,Volatile
2024-03-07,Thursday,1401.26,Blinkit,7.13,31,Volatile
