date,day_of_week,income,platform,hours_worked,orders_completed,volatility_label
2024-01-01,Monday,1497.8,Blinkit,7.96,33,Stable
2024-01-02,Tuesday,1831.21,Blinkit,10.72,36,Stable
2024-01-03,Wednesday,1154.21,Blinkit,7.2,26,Volatile
2024-01-04,Thursday,1228.18,Blinkit,7.3,23,Volatile
2024-01-05,Friday,1874.59,Blinkit,7.81,30,Volatile
2024-01-06,Saturday,1783.7,Blinkit,8.2,35,Volatile
2024-01-07,Sunday,0.0,Blinkit,0.0,0,Volatile
2024-01-08,Monday,1404.56,Blinkit,7.28,25,Volatile
2024-01-09,Tuesday,1057.83,Blinkit,7.56,31,Volatile
2024-01-10,Wednesday,1297.66,Blinkit,6.87,26,Volatile
2024-01-11,Thursday,1170.53,Blinkit,7.15,32,Volatile
2024-01-12,Friday,1017.44,Blinkit,6.92,26,Stable
2024-01-13,Saturday,1663.22,Blinkit,9.04,35,Stable
2024-01-14,Sunday,1205.34,Blinkit,7.49,27,Stable
2024-01-15,Monday,1322.73,Blinkit,7.06,34,Stable
2024-01-16,Tuesday,1286.73,Blinkit,6.74,26,Stable
2024-01-17,Wednesday,1852.62,Blinkit,7.41,32,Stable
2024-01-18,Thursday,1783.46,Blinkit,7.65,21,Volatile
2024-01-19,Friday,1752.37,Blinkit,7.09,31,Stable
2024-01-20,Saturday,1427.72,Blinkit,7.41,28,Stable
2024-01-21,Sunday,1279.13,Blinkit,8.0,30,Stable
2024-01-22,Monday,1156.48,Blinkit,7.19,22,Stable
2024-01-23,Tuesday,1768.39,Blinkit,11.49,53,Stable
2024-01-24,Wednesday,1605.41,Blinkit,7.41,29,Stable
2024-01-25,Thursday,0.0,Blinkit,0.0,0,Volatile
2024-01-26,Friday,1014.27,Blinkit,6.91,21,Volatile
2024-01-27,Saturday,1739.78,Blinkit,7.63,26,Volatile
2024-01-28,Sunday,1612.08,Blinkit,8.74,35,Volatile
2024-01-29,Monday,1285.04,Blinkit,7.2,20,Volatile
2024-01-30,Tuesday,1488.95,Blinkit,7.48,25,Stable
2024-01-31,Wednesday,1454.92,Blinkit,7.15,29,Stable
2024-02-01,Thursday,1252.78,Blinkit,7.53,22,Stable
2024-02-02,Friday,1410.99,Blinkit,7.05,23,Stable
2024-02-03,Saturday,0.0,Blinkit,0.0,0,Volatile
2024-02-04,Sunday,1323.75,Blinkit,8.23,26,Volatile
2024-02-05,Monday,1369.31,Blinkit,7.94,35,Volatile
2024-02-06,Tuesday,1480.51,Blinkit,7.98,27,Volatile
2024-02-07,Wednesday,2106.1,Blinkit,11.51,45,Volatile
2024-02-08,Thursday,1683.05,Blinkit,7.79,27,Volatile
2024-02-09,Friday,1350.11,Blinkit,7.65,24,Volatile
2024-02-10,Saturday,0.0,Blinkit,0.0,0,Volatile
2024-02-11,Sunday,1320.5,Blinkit,8.97,24,Volatile
2024-02-12,Monday,1413.58,Blinkit,7.97,28,Volatile
2024-02-13,Tuesday,0.0,Blinkit,0.0,0,Volatile
2024-02-14,Wednesday,1600.16,Blinkit,7.5,36,Volatile
2024-02-15,Thursday,1486.03,Blinkit,7.72,25,Volatile
2024-02-16,Friday,1193.46,Blinkit,6.69,22,Volatile
2024-02-17,Saturday,1390.45,Blinkit,7.87,29,Volatile
2024-02-18,Sunday,1384.74,Blinkit,8.02,34,Stable
2024-02-19,Monday,2260.92,Blinkit,11.67,53,Volatile
2024-02-20,Tuesday,1975.8,Blinkit,7.83,35,Volatile
2024-02-21,Wednesday,1301.61,Blinkit,7.67,29,Volatile
2024-02-22,Thursday,1322.57,Blinkit,7.53,38,Volatile
2024-02-23,Friday,1272.85,Blinkit,7.39,31,Volatile
2024-02-24,Saturday,1633.79,Blinkit,8.85,31,Volatile
2024-02-25,Sunday,1614.16,Blinkit,7.79,29,Stable
2024-02-26,Monday,1540.08,Blinkit,7.31,24,Stable
2024-02-27,Tuesday,1512.04,Blinkit,7.24,31,Stable
2024-02-28,Wednesday,1416.69,Blinkit,7.74,29,Stable
2024-02-29,Thursday,2561.13,Blinkit,11.46,58,Volatile
2024-03-01,Friday,1436.06,Blinkit,6.55,20,Volatile
2024-03-02,Saturday,1794.92,Blinkit,8.34,36,Volatile
2024-03-03,Sunday,1666.84,Blinkit,8.72,30,Volatile
2024-03-04,Monday,1323.9,Blinkit,6.85,25,Volatile
2024-03-05,Tuesday,1430.77,Blinkit,6.67,26,Stable
2024-03-06,Wednesday,1536.81,Blinkit,7.37,26,Stable
2024-03-07,Thursday,0.0,Blinkit,0.0,0,Volatile
2024-03-08,Friday,283.46,Blinkit,7.18,26,Volatile
2024-03-09,Saturday,1760.33,Blinkit,8.65,39,Volatile
2024-03-10,Sunday,1376.91,Blinkit,7.8,23,Volatile
2024-03-11,Monday,1444.46,Blinkit,6.64,30,Volatile
2024-03-12,Tuesday,1547.38,Blinkit,8.36,25,Volatile
2024-03-13,Wednesday,1080.72,Blinkit,6.02,19,Stable
2024-03-14,Thursday,1849.79,Blinkit,7.13,32,Stable
2024-03-15,Friday,1565.75,Blinkit,8.54,36,Stable
2024-03-16,Saturday,1573.82,Blinkit,8.19,29,Stable
2024-03-17,Sunday,1869.31,Blinkit,8.1,33,Volatile
2024-03-18,Monday,1521.99,Blinkit,7.76,35,Stable
2024-03-19,Tuesday,1608.62,Blinkit,7.12,32,Stable
2024-03-20,Wednesday,1659.86,Blinkit,8.25,38,Stable
2024-03-21,Thursday,1300.44,Blinkit,7.34,22,Stable
2024-03-22,Friday,1822.04,Blinkit,7.4,35,Stable
2024-03-23,Saturday,1834.99,Blinkit,8.19,29,Stable
2024-03-24,Sunday,1744.12,Blinkit,8.9,37,Stable
2024-03-25,Monday,1557.47,Blinkit,6.6,25,Stable
2024-03-26,Tuesday,0.0,Blinkit,0.0,0,Volatile
2024-03-27,Wednesday,1509.27,Blinkit,7.04,29,Volatile
2024-03-28,Thursday,1548.5,Blinkit,8.12,26,Volatile
2024-03-29,Friday,0.0,Blinkit,0.0,0,Volatile
2024-03-30,Saturday,1479.33,Blinkit,7.73,25,Volatile
2024-03-31,Sunday,1747.33,Blinkit,8.77,30,Volatile
2024-04-01,Monday,1553.06,Blinkit,7.47,30,Volatile
2024-04-02,Tuesday,0.0,Blinkit,0.0,0,Volatile
2024-04-03,Wednesday,0.0,Blinkit,0.0,0,Volatile
2024-04-04,Thursday,1545.83,Blinkit,8.11,34,Volatile
2024-04-05,Friday,1763.37,Blinkit,7.5,33,Volatile
2024-04-06,Saturday,1999.79,Blinkit,8.34,22,Volatile
