date,day_of_week,income,platform,hours_worked,orders_completed,volatility_label
2024-01-01,Monday,0.0,Snabbit,0.0,0,Stable
2024-01-02,Tuesday,0.0,Snabbit,0.0,0,Stable
2024-01-03,Wednesday,762.55,Snabbit,6.03,10,Volatile
2024-01-04,Thursday,0.0,Snabbit,0.0,0,Volatile
2024-01-05,Friday,771.02,Snabbit,5.69,8,Volatile
2024-01-06,Saturday,584.7,Snabbit,5.51,8,Volatile
2024-01-07,Sunday,458.5,Snabbit,3.74,7,Volatile
2024-01-08,Monday,656.69,Snabbit,6.11,9,Stable
2024-01-09,Tuesday,269.93,Snabbit,4.62,6,Stable
2024-01-10,Wednesday,0.0,Snabbit,0.0,0,Stable
2024-01-11,Thursday,731.13,Snabbit,6.29,10,Stable
2024-01-12,Friday,0.0,Snabbit,0.0,0,Volatile
2024-01-13,Saturday,696.0,Snabbit,5.46,7,Volatile
2024-01-14,Sunday,610.22,Snabbit,5.07,10,Volatile
2024-01-15,Monday,0.0,Snabbit,0.0,0,Volatile
2024-01-16,Tuesday,496.95,Snabbit,4.99,7,Volatile
2024-01-17,Wednesday,0.0,Snabbit,0.0,0,Volatile
2024-01-18,Thursday,711.39,Snabbit,6.0,8,Volatile
2024-01-19,Friday,628.1,Snabbit,6.1,6,Volatile
2024-01-20,Saturday,718.78,Snabbit,6.23,10,Stable
2024-01-21,Sunday,1064.23,Snabbit,7.22,12,Volatile
2024-01-22,Monday,620.54,Snabbit,5.59,8,Stable
2024-01-23,Tuesday,414.28,Snabbit,4.35,7,Stable
2024-01-24,Wednesday,906.44,Snabbit,4.84,6,Stable
2024-01-25,Thursday,644.32,Snabbit,5.47,9,Stable
2024-01-26,Friday,795.98,Snabbit,6.37,12,Stable
2024-01-27,Saturday,0.0,Snabbit,0.0,0,Volatile
2024-01-28,Sunday,601.5,Snabbit,6.34,8,Volatile
2024-01-29,Monday,1177.24,Snabbit,10.65,26,Volatile
2024-01-30,Tuesday,806.95,Snabbit,7.35,12,Volatile
2024-01-31,Wednesday,660.16,Snabbit,5.47,5,Volatile
2024-02-01,Thursday,1288.05,Snabbit,11.79,19,Volatile
2024-02-02,Friday,0.0,Snabbit,0.0,0,Volatile
2024-02-03,Saturday,1558.95,Snabbit,11.71,25,Volatile
2024-02-04,Sunday,799.88,Snabbit,8.21,15,Volatile
2024-02-05,Monday,529.61,Snabbit,4.22,8,Volatile
2024-02-06,Tuesday,583.73,Snabbit,6.01,10,Volatile
2024-02-07,Wednesday,706.01,Snabbit,5.15,6,Volatile
2024-02-08,Thursday,606.2,Snabbit,5.01,8,Stable
2024-02-09,Friday,0.0,Snabbit,0.0,0,Stable
2024-02-10,Saturday,656.43,Snabbit,5.41,11,Stable
2024-02-11,Sunday,653.83,Snabbit,5.61,6,Stable
2024-02-12,Monday,784.8,Snabbit,6.95,12,Volatile
2024-02-13,Tuesday,485.63,Snabbit,4.65,7,Volatile
2024-02-14,Wednesday,486.82,Snabbit,3.84,6,Stable
2024-02-15,Thursday,1286.82,Snabbit,11.01,14,Volatile
2024-02-16,Friday,0.0,Snabbit,0.0,0,Volatile
2024-02-17,Saturday,514.1,Snabbit,4.33,8,Volatile
2024-02-18,Sunday,573.15,Snabbit,4.98,8,Volatile
2024-02-19,Monday,554.39,Snabbit,5.49,9,Volatile
2024-02-20,Tuesday,503.95,Snabbit,4.75,8,Stable
2024-02-21,Wednesday,553.86,Snabbit,5.16,5,Stable
2024-02-22,Thursday,928.79,Snabbit,10.13,13,Stable
2024-02-23,Friday,680.66,Snabbit,6.13,9,Stable
2024-02-24,Saturday,0.0,Snabbit,0.0,0,Volatile
2024-02-25,Sunday,0.0,Snabbit,0.0,0,Volatile
2024-02-26,Monday,0.0,Snabbit,0.0,0,Volatile
2024-02-27,Tuesday,0.0,Snabbit,0.0,0,Volatile
2024-02-28,Wednesday,0.0,Snabbit,0.0,0,Stable
2024-02-29,Thursday,0.0,Snabbit,0.0,0,Stable
2024-03-01,Friday,585.2,Snabbit,4.83,9,Stable
2024-03-02,Saturday,676.98,Snabbit,6.66,12,Volatile
2024-03-03,Sunday,1280.95,Snabbit,10.09,10,Volatile
2024-03-04,Monday,690.34,Snabbit,4.93,9,Volatile
2024-03-05,Tuesday,0.0,Snabbit,0.0,0,Volatile
2024-03-06,Wednesday,585.49,Snabbit,6.05,10,Volatile
2024-03-07,Thursday,0.0,Snabbit,0.0,0,Volatile
