date,day_of_week,income,platform,hours_worked,orders_completed,volatility_label
2024-01-01,Monday,1668.51,Snabbit,12.14,18,Stable
2024-01-02,Tuesday,883.41,Snabbit,6.58,13,Volatile
2024-01-03,Wednesday,499.2,Snabbit,3.0,6,Volatile
2024-01-04,Thursday,286.94,Snabbit,3.0,5,Volatile
2024-01-05,Friday,277.42,Snabbit,3.0,4,Volatile
2024-01-06,Saturday,0.0,Snabbit,0.0,0,Volatile
2024-01-07,Sunday,898.29,Snabbit,7.85,8,Volatile
2024-01-08,Monday,229.41,Snabbit,3.0,5,Volatile
2024-01-09,Tuesday,2620.33,Snabbit,8.8,9,Volatile
2024-01-10,Wednesday,1483.39,Snabbit,10.68,18,Volatile
2024-01-11,Thursday,819.5,Snabbit,6.93,12,Volatile
2024-01-12,Friday,197.92,Snabbit,7.72,11,Volatile
2024-01-13,Saturday,0.0,Snabbit,0.0,0,Volatile
2024-01-14,Sunday,0.0,Snabbit,0.0,0,Volatile
2024-01-15,Monday,177.76,Snabbit,4.11,4,Volatile
2024-01-16,Tuesday,744.46,Snabbit,7.97,10,Volatile
2024-01-17,Wednesday,1187.82,Snabbit,7.22,15,Volatile
2024-01-18,Thursday,3763.07,Snabbit,11.74,11,Volatile
2024-01-19,Friday,560.31,Snabbit,4.11,5,Volatile
2024-01-20,Saturday,0.0,Snabbit,0.0,0,Volatile
2024-01-21,Sunday,1007.76,Snabbit,8.21,10,Volatile
2024-01-22,Monday,385.72,Snabbit,3.1,5,Volatile
2024-01-23,Tuesday,1177.77,Snabbit,7.56,10,Volatile
2024-01-24,Wednesday,414.54,Snabbit,4.53,7,Volatile
2024-01-25,Thursday,338.75,Snabbit,3.0,3,Volatile
2024-01-26,Friday,1805.8,Snabbit,9.93,16,Volatile
2024-01-27,Saturday,0.0,Snabbit,0.0,0,Volatile
2024-01-28,Sunday,624.43,Snabbit,4.91,7,Volatile
2024-01-29,Monday,413.89,Snabbit,3.0,5,Volatile
2024-01-30,Tuesday,705.74,Snabbit,7.76,13,Volatile
2024-01-31,Wednesday,342.47,Snabbit,4.68,7,Stable
2024-02-01,Thursday,801.08,Snabbit,5.84,11,Stable
2024-02-02,Friday,741.5,Snabbit,6.79,10,Stable
2024-02-03,Saturday,0.0,Snabbit,0.0,0,Volatile
2024-02-04,Sunday,0.0,Snabbit,0.0,0,Volatile
2024-02-05,Monday,0.0,Snabbit,0.0,0,Volatile
2024-02-06,Tuesday,0.0,Snabbit,0.0,0,Volatile
2024-02-07,Wednesday,537.99,Snabbit,4.93,7,Stable
2024-02-08,Thursday,729.65,Snabbit,7.12,10,Volatile
2024-02-09,Friday,179.36,Snabbit,3.0,5,Volatile
2024-02-10,Saturday,2520.06,Snabbit,7.37,11,Volatile
2024-02-11,Sunday,1889.28,Snabbit,4.83,6,Volatile
2024-02-12,Monday,254.92,Snabbit,3.0,3,Volatile
2024-02-13,Tuesday,551.99,Snabbit,4.76,8,Volatile
2024-02-14,Wednesday,635.6,Snabbit,5.96,6,Volatile
2024-02-15,Thursday,892.55,Snabbit,8.35,11,Volatile
2024-02-16,Friday,1248.96,Snabbit,8.85,14,Volatile
2024-02-17,Saturday,831.14,Snabbit,8.95,11,Stable
2024-02-18,Sunday,613.32,Snabbit,5.73,10,Stable
2024-02-19,Monday,1354.48,Snabbit,8.28,16,Volatile
2024-02-20,Tuesday,356.27,Snabbit,3.0,4,Volatile
2024-02-21,Wednesday,706.51,Snabbit,10.51,15,Volatile
2024-02-22,Thursday,950.08,Snabbit,5.2,8,Volatile
2024-02-23,Friday,257.68,Snabbit,6.89,9,Volatile
2024-02-24,Saturday,1924.87,Snabbit,5.91,10,Volatile
2024-02-25,Sunday,0.0,Snabbit,0.0,0,Volatile
2024-02-26,Monday,0.0,Snabbit,0.0,0,Volatile
2024-02-27,Tuesday,433.64,Snabbit,4.97,8,Volatile
2024-02-28,Wednesday,661.26,Snabbit,4.51,7,Volatile
2024-02-29,Thursday,879.91,Snabbit,6.58,14,Volatile
2024-03-01,Friday,2022.1,Snabbit,12.02,18,Volatile
2024-03-02,Saturday,205.9,Snabbit,3.0,5,Volatile
2024-03-03,Sunday,0.0,Snabbit,0.0,0,Volatile
2024-03-04,Monday,1296.33,Snabbit,7.84,9,Volatile
2024-03-05,Tuesday,1596.97,Snabbit,11.06,17,Volatile
2024-03-06,Wednesday,2882.81,Snabbit,11.03,24,Volatile
2024-03-07,Thursday,0.0,Snabbit,0.0,0,Volatile
2024-03-08,Friday,0.0,Snabbit,0.0,0,Volatile
2024-03-09,Saturday,428.6,Snabbit,4.48,5,Volatile
2024-03-10,Sunday,66.6,Snabbit,6.18,7,Volatile
2024-03-11,Monday,389.84,Snabbit,5.64,6,Stable
