date,day_of_week,income,platform,hours_worked,orders_completed,volatility_label
2024-01-01,Monday,0.0,Swiggy,0.0,0,Stable
2024-01-02,Tuesday,509.46,Swiggy,6.15,14,Volatile
2024-01-03,Wednesday,882.04,Swiggy,7.93,23,Volatile
2024-01-04,Thursday,0.0,Swiggy,0.0,0,Volatile
2024-01-05,Friday,889.63,Swiggy,8.06,22,Volatile
2024-01-06,Saturday,693.41,Swiggy,3.0,11,Volatile
2024-01-07,Sunday,0.0,Swiggy,0.0,0,Volatile
2024-01-08,Monday,0.0,Swiggy,0.0,0,Volatile
2024-01-09,Tuesday,0.0,Swiggy,0.0,0,Volatile
2024-01-10,Wednesday,1639.15,Swiggy,10.98,27,Volatile
2024-01-11,Thursday,133.84,Swiggy,7.67,19,Volatile
2024-01-12,Friday,1894.9,Swiggy,10.72,38,Volatile
2024-01-13,Saturday,2104.64,Swiggy,10.84,25,Volatile
2024-01-14,Sunday,1160.17,Swiggy,9.9,22,Volatile
2024-01-15,Monday,381.51,Swiggy,3.0,10,Volatile
2024-01-16,Tuesday,2000.74,Swiggy,4.53,12,Volatile
2024-01-17,Wednesday,1312.89,Swiggy,8.85,22,Volatile
2024-01-18,Thursday,1844.66,Swiggy,11.49,28,Volatile
2024-01-19,Friday,1313.38,Swiggy,7.48,22,Volatile
2024-01-20,Saturday,2399.31,Swiggy,10.48,22,Volatile
2024-01-21,Sunday,2100.25,Swiggy,11.77,39,Volatile
2024-01-22,Monday,922.24,Swiggy,3.89,9,Volatile
2024-01-23,Tuesday,1218.82,Swiggy,5.36,13,Volatile
2024-01-24,Wednesday,1037.02,Swiggy,5.53,16,Volatile
2024-01-25,Thursday,1002.55,Swiggy,3.76,10,Volatile
2024-01-26,Friday,2592.52,Swiggy,4.57,12,Volatile
2024-01-27,Saturday,955.5,Swiggy,8.42,16,Volatile
2024-01-28,Sunday,989.34,Swiggy,9.26,28,Volatile
2024-01-29,Monday,525.83,Swiggy,4.65,11,Volatile
2024-01-30,Tuesday,0.0,Swiggy,0.0,0,Volatile
2024-01-31,Wednesday,1074.62,Swiggy,11.82,35,Volatile
2024-02-01,Thursday,1021.25,Swiggy,5.08,10,Volatile
2024-02-02,Friday,1770.84,Swiggy,7.08,28,Volatile
2024-02-03,Saturday,942.68,Swiggy,6.83,19,Volatile
2024-02-04,Sunday,674.69,Swiggy,8.77,17,Volatile
2024-02-05,Monday,0.0,Swiggy,0.0,0,Volatile
2024-02-06,Tuesday,0.0,Swiggy,0.0,0,Volatile
2024-02-07,Wednesday,2484.22,Swiggy,6.75,18,Volatile
2024-02-08,Thursday,0.0,Swiggy,0.0,0,Volatile
2024-02-09,Friday,542.67,Swiggy,11.18,29,Volatile
2024-02-10,Saturday,704.82,Swiggy,9.21,21,Volatile
2024-02-11,Sunday,692.4,Swiggy,6.98,18,Volatile
2024-02-12,Monday,1114.15,Swiggy,6.97,16,Volatile
2024-02-13,Tuesday,0.0,Swiggy,0.0,0,Volatile
2024-02-14,Wednesday,0.0,Swiggy,0.0,0,Volatile
2024-02-15,Thursday,177.95,Swiggy,5.97,15,Volatile
2024-02-16,Friday,1114.75,Swiggy,5.66,12,Volatile
2024-02-17,Saturday,94.77,Swiggy,6.14,15,Volatile
2024-02-18,Sunday,1117.65,Swiggy,7.39,18,Volatile
2024-02-19,Monday,1045.61,Swiggy,6.3,11,Volatile
2024-02-20,Tuesday,852.9,Swiggy,5.36,12,Volatile
2024-02-21,Wednesday,1250.77,Swiggy,3.99,10,Volatile
2024-02-22,Thursday,0.0,Swiggy,0.0,0,Volatile
2024-02-23,Friday,1404.32,Swiggy,6.99,16,Volatile
2024-02-24,Saturday,1087.63,Swiggy,6.37,13,Volatile
2024-02-25,Sunday,625.25,Swiggy,4.54,13,Volatile
2024-02-26,Monday,500.86,Swiggy,3.0,8,Volatile
2024-02-27,Tuesday,722.85,Swiggy,5.83,15,Volatile
2024-02-28,Wednesday,529.52,Swiggy,8.02,18,Stable
2024-02-29,Thursday,516.56,Swiggy,9.02,20,Stable
2024-03-01,Friday,1690.41,Swiggy,8.81,21,Volatile
2024-03-02,Saturday,1114.48,Swiggy,5.36,13,Volatile
2024-03-03,Sunday,786.29,Swiggy,3.67,9,Volatile
2024-03-04,Monday,2096.63,Swiggy,10.06,23,Volatile
2024-03-05,Tuesday,577.34,Swiggy,4.8,13,Volatile
2024-03-06,Wednesday,4162.07,Swiggy,8.16,20,Volatile
2024-03-07,Thursday,2120.48,Swiggy,6.51,25,Volatile
2024-03-08,Friday,1153.25,Swiggy,7.05,12,Volatile
2024-03-09,Saturday,0.0,Swiggy,0.0,0,Volatile
2024-03-10,Sunday,1083.98,Swiggy,6.94,15,Volatile
2024-03-11,Monday,1210.92,Swiggy,4.77,13,Volatile
2024-03-12,Tuesday,527.32,Swiggy,6.94,16,Volatile
2024-03-13,Wednesday,1053.5,Swiggy,7.46,16,Volatile
2024-03-14,Thursday,2111.92,Swiggy,7.67,19,Volatile
2024-03-15,Friday,0.0,Swiggy,0.0,0,Volatile
2024-03-16,Saturday,798.09,Swiggy,7.42,20,Volatile
2024-03-17,Sunday,1577.0,Swiggy,7.83,17,Volatile
2024-03-18,Monday,2178.65,Swiggy,11.16,28,Volatile
2024-03-19,Tuesday,532.64,Swiggy,5.96,13,Volatile
2024-03-20,Wednesday,222.93,Swiggy,11.75,27,Volatile
2024-03-21,Thursday,820.4,Swiggy,11.1,33,Volatile
2024-03-22,Friday,2035.51,Swiggy,7.82,16,Volatile
2024-03-23,Saturday,0.0,Swiggy,0.0,0,Volatile
2024-03-24,Sunday,1307.6,Swiggy,7.85,20,Volatile
2024-03-25,Monday,583.29,Swiggy,7.97,23,Volatile
2024-03-26,Tuesday,3233.61,Swiggy,6.28,13,Volatile
2024-03-27,Wednesday,285.56,Swiggy,3.41,13,Volatile
2024-03-28,Thursday,887.14,Swiggy,8.2,19,Volatile
2024-03-29,Friday,0.0,Swiggy,0.0,0,Volatile
2024-03-30,Saturday,4203.23,Swiggy,10.41,16,Volatile
2024-03-31,Sunday,1455.71,Swiggy,9.81,31,Volatile
2024-04-01,Monday,1652.01,Swiggy,10.92,34,Volatile
2024-04-02,Tuesday,334.81,Swiggy,4.63,13,Volatile
2024-04-03,Wednesday,2404.71,Swiggy,7.15,16,Volatile
2024-04-04,Thursday,1792.18,Swiggy,9.99,32,Volatile
2024-04-05,Friday,593.37,Swiggy,3.7,8,Volatile
2024-04-06,Saturday,1564.88,Swiggy,9.32,23,Volatile
2024-04-07,Sunday,0.0,Swiggy,0.0,0,Volatile
2024-04-08,Monday,1460.16,Swiggy,3.88,11,Volatile
2024-04-09,Tuesday,1402.32,Swiggy,11.59,29,Volatile
2024-04-10,Wednesday,517.15,Swiggy,7.09,16,Volatile
2024-04-11,Thursday,1308.95,Swiggy,6.65,14,Volatile
