date,day_of_week,income,platform,hours_worked,orders_completed,volatility_label
2024-01-01,Monday,1443.56,Uber,7.94,9,Stable
2024-01-02,Tuesday,1376.96,Uber,8.77,10,Stable
2024-01-03,Wednesday,1594.75,Uber,8.56,8,Stable
2024-01-04,Thursday,2823.92,Uber,12.73,13,Volatile
2024-01-05,Friday,1295.09,Uber,8.0,11,Volatile
2024-01-06,Saturday,2471.03,Uber,12.45,22,Volatile
2024-01-07,Sunday,1745.9,Uber,10.45,16,Volatile
2024-01-08,Monday,1828.91,Uber,10.32,9,Volatile
2024-01-09,Tuesday,0.0,Uber,0.0,0,Volatile
2024-01-10,Wednesday,1417.24,Uber,8.75,16,Volatile
2024-01-11,Thursday,1905.81,Uber,11.53,15,Volatile
2024-01-12,Friday,1612.14,Uber,7.54,8,Volatile
2024-01-13,Saturday,1636.92,Uber,9.95,18,Volatile
2024-01-14,Sunday,2057.09,Uber,11.54,15,Stable
2024-01-15,Monday,1504.49,Uber,8.42,11,Stable
2024-01-16,Tuesday,1748.23,Uber,7.88,11,Stable
2024-01-17,Wednesday,0.0,Uber,0.0,0,Volatile
2024-01-18,Thursday,1648.83,Uber,8.92,12,Volatile
2024-01-19,Friday,1346.18,Uber,8.07,10,Volatile
2024-01-20,Saturday,2099.92,Uber,10.25,14,Volatile
2024-01-21,Sunday,1553.53,Uber,9.51,17,Volatile
2024-01-22,Monday,1671.49,Uber,8.69,13,Stable
2024-01-23,Tuesday,1585.67,Uber,8.51,15,Stable
2024-01-24,Wednesday,0.0,Uber,0.0,0,Volatile
2024-01-25,Thursday,1355.87,Uber,8.88,10,Volatile
2024-01-26,Friday,1945.15,Uber,11.59,17,Volatile
2024-01-27,Saturday,2118.84,Uber,12.89,20,Volatile
2024-01-28,Sunday,2150.25,Uber,11.0,15,Volatile
2024-01-29,Monday,1467.11,Uber,8.89,14,Volatile
2024-01-30,Tuesday,1666.95,Uber,8.4,15,Stable
2024-01-31,Wednesday,1099.13,Uber,7.52,8,Volatile
2024-02-01,Thursday,2086.14,Uber,8.98,17,Volatile
2024-02-02,Friday,1584.41,Uber,7.89,12,Volatile
2024-02-03,Saturday,0.0,Uber,0.0,0,Volatile
2024-02-04,Sunday,1698.61,Uber,9.62,16,Volatile
2024-02-05,Monday,1382.33,Uber,7.89,11,Volatile
2024-02-06,Tuesday,1178.15,Uber,8.28,13,Volatile
2024-02-07,Wednesday,2224.48,Uber,7.8,9,Volatile
2024-02-08,Thursday,1688.43,Uber,8.66,11,Volatile
2024-02-09,Friday,0.0,Uber,0.0,0,Volatile
2024-02-10,Saturday,1986.38,Uber,10.04,18,Volatile
2024-02-11,Sunday,1509.7,Uber,9.71,13,Volatile
2024-02-12,Monday,1798.3,Uber,8.58,13,Volatile
2024-02-13,Tuesday,1407.32,Uber,8.46,15,Volatile
2024-02-14,Wednesday,1858.85,Uber,9.12,16,Stable
2024-02-15,Thursday,1409.29,Uber,7.82,12,Stable
2024-02-16,Friday,1893.91,Uber,8.56,12,Stable
2024-02-17,Saturday,1725.04,Uber,9.62,17,Stable
2024-02-18,Sunday,1836.7,Uber,10.23,15,Stable
2024-02-19,Monday,1422.9,Uber,9.53,11,Stable
2024-02-20,Tuesday,2254.99,Uber,12.4,21,Volatile
2024-02-21,Wednesday,2131.8,Uber,10.76,16,Volatile
2024-02-22,Thursday,2115.56,Uber,10.97,12,Volatile
2024-02-23,Friday,1408.57,Uber,9.26,11,Volatile
2024-02-24,Saturday,1646.21,Uber,10.32,12,Volatile
2024-02-25,Sunday,2345.94,Uber,9.64,15,Volatile
2024-02-26,Monday,1430.76,Uber,8.88,10,Volatile
2024-02-27,Tuesday,1755.38,Uber,8.43,8,Volatile
2024-02-28,Wednesday,2069.29,Uber,7.94,14,Volatile
2024-02-29,Thursday,1580.69,Uber,8.26,13,Volatile
2024-03-01,Friday,1797.55,Uber,8.97,12,Stable
2024-03-02,Saturday,1699.6,Uber,8.92,17,Stable
2024-03-03,Sunday,0.0,Uber,0.0,0,Volatile
2024-03-04,Monday,1863.12,Uber,8.7,17,Volatile
2024-03-05,Tuesday,1978.94,Uber,8.93,15,Volatile
2024-03-06,Wednesday,1908.84,Uber,9.25,14,Volatile
2024-03-07,Thursday,1479.03,Uber,8.59,12,Volatile
2024-03-08,Friday,1549.37,Uber,9.05,8,Stable
2024-03-09,Saturday,2249.85,Uber,9.13,13,Volatile
2024-03-10,Sunday,1757.03,Uber,10.42,18,Volatile
2024-03-11,Monday,0.0,Uber,0.0,0,Volatile
2024-03-12,Tuesday,1442.77,Uber,8.14,11,Volatile
2024-03-13,Wednesday,1471.19,Uber,8.6,12,Volatile
2024-03-14,Thursday,1345.23,Uber,8.24,10,Volatile
2024-03-15,Friday,1879.6,Uber,8.63,7,Volatile
2024-03-16,Saturday,1738.95,Uber,9.04,15,Stable
2024-03-17,Sunday,278.57,Uber,9.76,14,Volatile
2024-03-18,Monday,1918.22,Uber,7.69,12,Volatile
2024-03-19,Tuesday,1754.76,Uber,9.29,13,Volatile
2024-03-20,Wednesday,1890.35,Uber,8.03,18,Volatile
2024-03-21,Thursday,1776.36,Uber,8.56,9,Volatile
2024-03-22,Friday,1431.33,Uber,7.62,15,Stable
2024-03-23,Saturday,1552.19,Uber,9.01,15,Stable
2024-03-24,Sunday,2637.85,Uber,12.09,15,Volatile
2024-03-25,Monday,0.0,Uber,0.0,0,Volatile
2024-03-26,Tuesday,1832.36,Uber,8.46,10,Volatile
2024-03-27,Wednesday,1775.52,Uber,8.63,10,Volatile
2024-03-28,Thursday,1890.29,Uber,8.52,13,Volatile
2024-03-29,Friday,1151.54,Uber,7.83,8,Volatile
2024-03-30,Saturday,1616.31,Uber,9.08,15,Stable
2024-03-31,Sunday,2555.38,Uber,9.41,10,Volatile
