date,day_of_week,income,platform,hours_worked,orders_completed,volatility_label
2024-01-01,Monday,3278.94,Uber,10.08,18,Stable
2024-01-02,Tuesday,1746.94,Uber,9.01,18,Volatile
2024-01-03,Wednesday,912.39,Uber,9.55,8,Volatile
2024-01-04,Thursday,987.77,Uber,8.75,12,Volatile
2024-01-05,Friday,211.87,Uber,11.94,20,Volatile
2024-01-06,Saturday,1384.21,Uber,12.8,16,Volatile
2024-01-07,Sunday,1537.36,Uber,7.87,8,Volatile
2024-01-08,Monday,1685.97,Uber,8.47,13,Volatile
2024-01-09,Tuesday,1785.63,Uber,9.08,15,Volatile
2024-01-10,Wednesday,0.0,Uber,0.0,0,Volatile
2024-01-11,Thursday,3145.81,Uber,11.83,16,Volatile
2024-01-12,Friday,1478.97,Uber,10.94,21,Volatile
2024-01-13,Saturday,4146.99,Uber,10.76,14,Volatile
2024-01-14,Sunday,1617.38,Uber,7.66,11,Volatile
2024-01-15,Monday,1502.09,Uber,11.69,25,Volatile
2024-01-16,Tuesday,924.61,Uber,8.62,14,Volatile
2024-01-17,Wednesday,4848.98,Uber,8.79,14,Volatile
2024-01-18,Thursday,2123.95,Uber,6.5,9,Volatile
2024-01-19,Friday,1494.89,Uber,7.84,15,Volatile
2024-01-20,Saturday,2307.34,Uber,8.47,14,Volatile
2024-01-21,Sunday,1740.4,Uber,9.87,14,Volatile
2024-01-22,Monday,2404.11,Uber,12.34,17,Volatile
2024-01-23,Tuesday,0.0,Uber,0.0,0,Volatile
2024-01-24,Wednesday,662.35,Uber,6.2,10,Volatile
2024-01-25,Thursday,847.11,Uber,8.16,8,Volatile
2024-01-26,Friday,0.0,Uber,0.0,0,Volatile
2024-01-27,Saturday,1939.76,Uber,9.75,15,Volatile
2024-01-28,Sunday,1197.83,Uber,8.25,12,Volatile
2024-01-29,Monday,5248.21,Uber,9.61,15,Volatile
2024-01-30,Tuesday,0.0,Uber,0.0,0,Volatile
2024-01-31,Wednesday,0.0,Uber,0.0,0,Volatile
2024-02-01,Thursday,0.0,Uber,0.0,0,Volatile
2024-02-02,Friday,3456.76,Uber,8.7,10,Volatile
2024-02-03,Saturday,5649.59,Uber,10.82,15,Volatile
2024-02-04,Sunday,3224.81,Uber,13.0,23,Volatile
2024-02-05,Monday,1096.08,Uber,11.58,12,Volatile
2024-02-06,Tuesday,1875.28,Uber,9.87,18,Volatile
2024-02-07,Wednesday,2596.37,Uber,9.1,10,Volatile
2024-02-08,Thursday,1917.45,Uber,10.11,14,Volatile
2024-02-09,Friday,236.43,Uber,7.63,13,Volatile
2024-02-10,Saturday,1823.21,Uber,12.28,14,Volatile
2024-02-11,Sunday,488.38,Uber,6.84,13,Volatile
2024-02-12,Monday,3124.62,Uber,12.34,18,Volatile
2024-02-13,Tuesday,1078.55,Uber,4.34,6,Volatile
2024-02-14,Wednesday,1377.6,Uber,9.45,15,Volatile
2024-02-15,Thursday,1740.83,Uber,7.71,10,Volatile
2024-02-16,Friday,0.0,Uber,0.0,0,Volatile
2024-02-17,Saturday,2245.71,Uber,8.86,13,Volatile
2024-02-18,Sunday,0.0,Uber,0.0,0,Volatile
2024-02-19,Monday,3082.44,Uber,7.18,8,Volatile
2024-02-20,Tuesday,2000.42,Uber,8.48,11,Volatile
2024-02-21,Wednesday,1164.48,Uber,6.83,10,Volatile
2024-02-22,Thursday,1192.71,Uber,7.28,12,Volatile
2024-02-23,Friday,3714.27,Uber,7.83,15,Volatile
2024-02-24,Saturday,2862.24,Uber,12.15,16,Volatile
2024-02-25,Sunday,1494.88,Uber,9.67,13,Volatile
2024-02-26,Monday,2590.73,Uber,10.22,20,Volatile
2024-02-27,Tuesday,1430.97,Uber,9.75,11,Volatile
2024-02-28,Wednesday,2127.12,Uber,9.14,13,Volatile
2024-02-29,Thursday,1836.75,Uber,8.55,13,Volatile
2024-03-01,Friday,1272.02,Uber,8.06,10,Volatile
2024-03-02,Saturday,2163.38,Uber,8.8,11,Volatile
2024-03-03,Sunday,1601.66,Uber,9.03,11,Volatile
2024-03-04,Monday,1093.15,Uber,5.6,6,Volatile
2024-03-05,Tuesday,1305.24,Uber,9.23,13,Volatile
2024-03-06,Wednesday,1299.27,Uber,8.17,11,Volatile
2024-03-07,Thursday,1452.03,Uber,10.13,14,Stable
2024-03-08,Friday,4287.18,Uber,9.14,17,Volatile
2024-03-09,Saturday,2739.51,Uber,11.78,23,Volatile
2024-03-10,Sunday,4954.96,Uber,11.3,17,Volatile
2024-03-11,Monday,85.01,Uber,6.1,9,Volatile
2024-03-12,Tuesday,1240.1,Uber,6.39,8,Volatile
2024-03-13,Wednesday,1003.16,Uber,7.37,10,Volatile
2024-03-14,Thursday,912.04,Uber,7.9,10,Volatile
2024-03-15,Friday,0.0,Uber,0.0,0,Volatile
2024-03-16,Saturday,2120.42,Uber,10.77,13,Volatile
2024-03-17,Sunday,2457.73,Uber,10.66,16,Volatile
2024-03-18,Monday,3616.17,Uber,11.6,13,Volatile
2024-03-19,Tuesday,2294.15,Uber,9.78,18,Volatile
2024-03-20,Wednesday,808.43,Uber,7.49,11,Volatile
2024-03-21,Thursday,2596.99,Uber,11.94,17,Volatile
2024-03-22,Friday,261.76,Uber,6.72,10,Volatile
2024-03-23,Saturday,1822.67,Uber,6.66,7,Volatile
2024-03-24,Sunday,1992.92,Uber,10.41,11,Volatile
2024-03-25,Monday,1556.64,Uber,6.61,9,Volatile
2024-03-26,Tuesday,1313.47,Uber,12.0,17,Volatile
2024-03-27,Wednesday,1720.37,Uber,10.13,17,Stable
2024-03-28,Thursday,1052.62,Uber,6.74,9,Volatile
2024-03-29,Friday,1242.71,Uber,9.28,18,Stable
2024-03-30,Saturday,3761.45,Uber,9.42,16,Volatile
2024-03-31,Sunday,2077.19,Uber,8.23,8,Volatile
2024-04-01,Monday,991.92,Uber,9.27,16,Volatile
2024-04-02,Tuesday,999.34,Uber,8.55,10,Volatile
2024-04-03,Wednesday,737.41,Uber,7.36,12,Volatile
2024-04-04,Thursday,1972.83,Uber,8.51,14,Volatile
2024-04-05,Friday,1986.38,Uber,7.04,11,Volatile
2024-04-06,Saturday,0.0,Uber,0.0,0,Volatile
2024-04-07,Sunday,1509.2,Uber,9.21,9,Volatile
2024-04-08,Monday,1858.25,Uber,7.33,10,Volatile
2024-04-09,Tuesday,974.88,Uber,9.95,18,Volatile
2024-04-10,Wednesday,1014.99,Uber,8.07,10,Volatile
2024-04-11,Thursday,1783.92,Uber,7.94,12,Volatile
2024-04-12,Friday,144.77,Uber,7.15,8,Volatile
2024-04-13,Saturday,1763.55,Uber,9.4,9,Volatile
2024-04-14,Sunday,2402.8,Uber,10.72,21,Volatile
2024-04-15,Monday,308.46,Uber,8.75,9,Volatile
2024-04-16,Tuesday,1621.03,Uber,7.1,10,Volatile
2024-04-17,Wednesday,1486.83,Uber,9.09,18,Volatile
2024-04-18,Thursday,1774.44,Uber,6.61,6,Volatile
2024-04-19,Friday,0.0,Uber,0.0,0,Volatile
2024-04-20,Saturday,1739.02,Uber,9.46,15,Volatile
2024-04-21,Sunday,5117.29,Uber,10.42,16,Volatile
2024-04-22,Monday,2339.13,Uber,9.14,10,Volatile
2024-04-23,Tuesday,170.22,Uber,10.03,11,Volatile
2024-04-24,Wednesday,1152.55,Uber,7.96,13,Volatile
2024-04-25,Thursday,820.03,Uber,6.1,10,Volatile
2024-04-26,Friday,1280.95,Uber,7.89,13,Volatile
2024-04-27,Saturday,696.64,Uber,11.43,18,Volatile
2024-04-28,Sunday,2411.71,Uber,9.79,18,Volatile
2024-04-29,Monday,4394.74,Uber,10.29,11,Volatile
