date,day_of_week,income,platform,hours_worked,orders_completed,volatility_label
2024-01-01,Monday,1136.69,Zomato,7.52,23,Stable
2024-01-02,Tuesday,0.0,Zomato,0.0,0,Volatile
2024-01-03,Wednesday,1121.37,Zomato,6.56,15,Volatile
2024-01-04,Thursday,924.73,Zomato,7.89,20,Volatile
2024-01-05,Friday,1113.07,Zomato,7.19,19,Volatile
2024-01-06,Saturday,1040.39,Zomato,6.76,18,Volatile
2024-01-07,Sunday,1450.02,Zomato,9.17,24,Stable
2024-01-08,Monday,0.0,Zomato,0.0,0,Volatile
2024-01-09,Tuesday,960.59,Zomato,7.59,16,Volatile
2024-01-10,Wednesday,1376.53,Zomato,7.64,17,Volatile
2024-01-11,Thursday,1856.72,Zomato,10.36,26,Volatile
2024-01-12,Friday,1768.65,Zomato,11.08,28,Volatile
2024-01-13,Saturday,1051.63,Zomato,7.35,19,Volatile
2024-01-14,Sunday,155.67,Zomato,9.43,21,Volatile
2024-01-15,Monday,1467.53,Zomato,8.25,22,Volatile
2024-01-16,Tuesday,1370.92,Zomato,7.9,14,Volatile
2024-01-17,Wednesday,1024.44,Zomato,7.48,20,Volatile
2024-01-18,Thursday,0.0,Zomato,0.0,0,Volatile
2024-01-19,Friday,825.72,Zomato,6.9,21,Volatile
2024-01-20,Saturday,1218.49,Zomato,7.29,17,Volatile
2024-01-21,Sunday,269.85,Zomato,10.99,27,Volatile
2024-01-22,Monday,1314.35,Zomato,12.04,29,Volatile
2024-01-23,Tuesday,1148.0,Zomato,7.09,17,Volatile
2024-01-24,Wednesday,1215.65,Zomato,6.54,20,Volatile
2024-01-25,Thursday,0.0,Zomato,0.0,0,Volatile
2024-01-26,Friday,0.0,Zomato,0.0,0,Volatile
2024-01-27,Saturday,0.0,Zomato,0.0,0,Volatile
2024-01-28,Sunday,1338.62,Zomato,9.47,19,Volatile
2024-01-29,Monday,0.0,Zomato,0.0,0,Volatile
2024-01-30,Tuesday,1553.69,Zomato,7.1,15,Volatile
2024-01-31,Wednesday,836.16,Zomato,6.53,17,Volatile
2024-02-01,Thursday,1055.77,Zomato,6.6,16,Volatile
2024-02-02,Friday,913.6,Zomato,6.28,16,Volatile
2024-02-03,Saturday,904.43,Zomato,6.31,17,Stable
2024-02-04,Sunday,1262.51,Zomato,9.45,21,Stable
2024-02-05,Monday,0.0,Zomato,0.0,0,Volatile
2024-02-06,Tuesday,1777.67,Zomato,8.61,26,Volatile
2024-02-07,Wednesday,1003.64,Zomato,6.81,13,Volatile
2024-02-08,Thursday,1414.75,Zomato,7.47,16,Volatile
2024-02-09,Friday,1231.34,Zomato,7.18,24,Volatile
2024-02-10,Saturday,1259.91,Zomato,7.98,20,Stable
2024-02-11,Sunday,1238.59,Zomato,8.27,22,Stable
2024-02-12,Monday,0.0,Zomato,0.0,0,Volatile
2024-02-13,Tuesday,0.0,Zomato,0.0,0,Volatile
2024-02-14,Wednesday,822.95,Zomato,6.49,15,Volatile
2024-02-15,Thursday,0.0,Zomato,0.0,0,Volatile
2024-02-16,Friday,0.0,Zomato,0.0,0,Volatile
2024-02-17,Saturday,1592.32,Zomato,12.51,41,Volatile
2024-02-18,Sunday,1261.32,Zomato,7.79,19,Volatile
2024-02-19,Monday,1831.24,Zomato,12.11,30,Volatile
2024-02-20,Tuesday,0.0,Zomato,0.0,0,Volatile
2024-02-21,Wednesday,1378.03,Zomato,7.91,16,Volatile
2024-02-22,Thursday,0.0,Zomato,0.0,0,Volatile
2024-02-23,Friday,1076.09,Zomato,7.45,20,Volatile
2024-02-24,Saturday,1201.4,Zomato,8.49,21,Volatile
2024-02-25,Sunday,0.0,Zomato,0.0,0,Volatile
2024-02-26,Monday,905.88,Zomato,7.18,21,Volatile
2024-02-27,Tuesday,901.18,Zomato,7.74,19,Volatile
2024-02-28,Wednesday,1252.37,Zomato,7.59,19,Volatile
2024-02-29,Thursday,951.61,Zomato,6.91,21,Volatile
2024-03-01,Friday,966.43,Zomato,6.48,16,Stable
2024-03-02,Saturday,1334.31,Zomato,8.91,22,Stable
2024-03-03,Sunday,1765.75,Zomato,10.11,30,Volatile
2024-03-04,Monday,1082.36,Zomato,7.79,17,Volatile
2024-03-05,Tuesday,1004.6,Zomato,7.02,19,Volatile
2024-03-06,Wednesday,1612.47,Zomato,7.97,19,Volatile
2024-03-07,Thursday,1826.71,Zomato,10.74,29,Volatile
2024-03-08,Friday,1338.37,Zomato,5.44,16,Volatile
2024-03-09,Saturday,1054.21,Zomato,7.39,17,Volatile
2024-03-10,Sunday,0.0,Zomato,0.0,0,Volatile
2024-03-11,Monday,910.54,Zomato,6.12,16,Volatile
2024-03-12,Tuesday,0.0,Zomato,0.0,0,Volatile
2024-03-13,Wednesday,1651.15,Zomato,7.06,16,Volatile
2024-03-14,Thursday,2288.76,Zomato,11.04,30,Volatile
2024-03-15,Friday,98.71,Zomato,6.5,17,Volatile
2024-03-16,Saturday,1254.1,Zomato,8.28,24,Volatile
2024-03-17,Sunday,1439.39,Zomato,7.56,20,Volatile
2024-03-18,Monday,1168.26,Zomato,5.81,16,Volatile
2024-03-19,Tuesday,1429.7,Zomato,7.4,23,Volatile
2024-03-20,Wednesday,970.7,Zomato,7.39,16,Stable
2024-03-21,Thursday,2332.71,Zomato,12.28,31,Volatile
2024-03-22,Friday,1490.39,Zomato,7.41,22,Volatile
2024-03-23,Saturday,1293.95,Zomato,8.0,22,Volatile
2024-03-24,Sunday,1418.8,Zomato,7.6,17,Volatile
2024-03-25,Monday,1274.4,Zomato,8.83,20,Volatile
2024-03-26,Tuesday,868.23,Zomato,6.61,15,Stable
2024-03-27,Wednesday,1085.16,Zomato,7.13,18,Stable
2024-03-28,Thursday,1081.72,Zomato,7.56,24,Stable
2024-03-29,Friday,938.55,Zomato,7.5,14,Stable
2024-03-30,Saturday,1035.64,Zomato,8.65,25,Stable
2024-03-31,Sunday,1399.42,Zomato,9.06,29,Stable
2024-04-01,Monday,1112.87,Zomato,6.42,14,Stable
2024-04-02,Tuesday,1311.89,Zomato,7.92,18,Stable
2024-04-03,Wednesday,1163.73,Zomato,7.64,20,Stable
2024-04-04,Thursday,0.0,Zomato,0.0,0,Volatile
2024-04-05,Friday,1443.99,Zomato,7.93,17,Volatile
2024-04-06,Saturday,162.4,Zomato,8.34,25,Volatile
2024-04-07,Sunday,830.81,Zomato,6.83,18,Volatile
2024-04-08,Monday,1109.18,Zomato,6.74,21,Volatile
2024-04-09,Tuesday,1188.07,Zomato,6.33,18,Volatile
2024-04-10,Wednesday,1298.3,Zomato,5.78,12,Volatile
2024-04-11,Thursday,853.53,Zomato,5.88,12,Stable
2024-04-12,Friday,1360.7,Zomato,6.61,19,Stable
2024-04-13,Saturday,1229.31,Zomato,7.47,15,Stable
2024-04-14,Sunday,0.0,Zomato,0.0,0,Volatile
2024-04-15,Monday,876.86,Zomato,5.94,17,Volatile
2024-04-16,Tuesday,972.25,Zomato,6.39,16,Volatile
2024-04-17,Wednesday,1493.13,Zomato,6.47,17,Volatile
2024-04-18,Thursday,1094.89,Zomato,6.11,16,Volatile
2024-04-19,Friday,941.76,Zomato,6.96,24,Stable
2024-04-20,Saturday,1575.91,Zomato,10.63,26,Stable
2024-04-21,Sunday,995.43,Zomato,6.62,16,Stable
2024-04-22,Monday,1041.0,Zomato,7.09,14,Stable
2024-04-23,Tuesday,1613.09,Zomato,7.03,22,Volatile
2024-04-24,Wednesday,0.0,Zomato,0.0,0,Volatile
2024-04-25,Thursday,1310.28,Zomato,6.09,16,Volatile
2024-04-26,Friday,1198.71,Zomato,6.21,9,Volatile
2024-04-27,Saturday,1786.42,Zomato,10.56,27,Volatile
2024-04-28,Sunday,1059.83,Zomato,8.42,16,Volatile
2024-04-29,Monday,1738.51,Zomato,12.95,33,Volatile
