date,day_of_week,income,platform,hours_worked,orders_completed,volatility_label,volatility_label_stat,rolling_mean_7,rolling_std_7,rolling_cv_7
2024-01-01,Monday,1668.51,snabbit,12.14,18,medium,low,1668.51,0.0,0.0
2024-01-02,Tuesday,883.41,snabbit,6.58,13,low,medium,1275.96,555.1495339095585,0.4350838066315233
2024-01-03,Wednesday,499.2,snabbit,3.0,6,low,medium,1017.04,595.998491357151,0.5860128326881451
2024-01-04,Thursday,286.94,snabbit,3.0,5,medium,high,834.515,608.3345874598945,0.7289678285709598
2024-01-05,Friday,277.42,snabbit,3.0,4,low,high,723.096,582.7728507145816,0.805941189986643
2024-01-06,Saturday,0.0,snabbit,0.0,0,high,high,602.58,599.0358870384979,0.9941184357902649
2024-01-07,Sunday,898.29,snabbit,7.85,8,medium,high,644.8242857142858,558.1475784789402,0.8655808890024482
2024-01-08,Monday,229.41,snabbit,3.0,5,medium,high,439.2385714285714,341.06463265430955,0.7764906245483798
2024-01-09,Tuesday,2620.33,snabbit,8.8,9,high,high,687.37,896.9241535009152,1.3048636884078664
2024-01-10,Wednesday,1483.39,snabbit,10.68,18,medium,high,827.9685714285714,938.6783089612147,1.1337124878322682
2024-01-11,Thursday,819.5,snabbit,6.93,12,low,high,904.0485714285714,908.6202399871388,1.0050568837815244
2024-01-12,Friday,197.92,snabbit,7.72,11,medium,high,892.6914285714286,918.2043838461487,1.0285798143212246
2024-01-13,Saturday,0.0,snabbit,0.0,0,high,high,892.6914285714286,918.2043838461487,1.0285798143212246
2024-01-14,Sunday,0.0,snabbit,0.0,0,high,high,764.3642857142856,978.1093494229422,1.2796376906973295
2024-01-15,Monday,177.76,snabbit,4.11,4,high,high,756.9857142857143,983.0000672746186,1.29857149048337
2024-01-16,Tuesday,744.46,snabbit,7.97,10,medium,high,489.00428571428574,551.2321709242891,1.1272542736902755
2024-01-17,Wednesday,1187.82,snabbit,7.22,15,medium,high,446.78000000000003,467.29748897249584,1.045923024693352
2024-01-18,Thursday,3763.07,snabbit,11.74,11,high,high,867.29,1349.769128666084,1.5563065741171742
2024-01-19,Friday,560.31,snabbit,4.11,5,medium,high,919.0600000000001,1326.5669852040392,1.4433954096620885
2024-01-20,Saturday,0.0,snabbit,0.0,0,high,high,919.0600000000001,1326.5669852040392,1.4433954096620885
2024-01-21,Sunday,1007.76,snabbit,8.21,10,medium,high,1063.0257142857142,1263.3812644098791,1.1884766731713456
2024-01-22,Monday,385.72,snabbit,3.1,5,medium,high,1092.7342857142855,1241.347571980509,1.1360013026122628
2024-01-23,Tuesday,1177.77,snabbit,7.56,10,medium,high,1154.6357142857141,1231.8533701548674,1.06687620598755
2024-01-24,Wednesday,414.54,snabbit,4.53,7,medium,high,1044.1671428571428,1262.6687138717252,1.2092591904555616
2024-01-25,Thursday,338.75,snabbit,3.0,3,low,high,554.9785714285714,407.4383544140382,0.7341515067243954
2024-01-26,Friday,1805.8,snabbit,9.93,16,high,high,732.9057142857142,624.3603954943852,0.8518972950059249
2024-01-27,Saturday,0.0,snabbit,0.0,0,high,high,732.9057142857142,624.3603954943852,0.8518972950059249
2024-01-28,Sunday,624.43,snabbit,4.91,7,medium,high,678.1442857142856,612.9417895922677,0.9038515880829985
2024-01-29,Monday,413.89,snabbit,3.0,5,low,high,682.1685714285712,610.7905840091889,0.895366056999804
2024-01-30,Tuesday,705.74,snabbit,7.76,13,medium,high,614.7357142857143,571.7655885896233,0.930099838520006
2024-01-31,Wednesday,342.47,snabbit,4.68,7,medium,high,604.4399999999999,576.5997474852034,0.9539404200337559
2024-02-01,Thursday,801.08,snabbit,5.84,11,medium,high,670.4871428571429,567.5009766133827,0.8464009827169753
2024-02-02,Friday,741.5,snabbit,6.79,10,low,medium,518.4442857142856,284.7901216016895,0.5493167336376762
2024-02-03,Saturday,0.0,snabbit,0.0,0,high,medium,518.4442857142857,284.7901216016894,0.5493167336376759
2024-02-04,Sunday,0.0,snabbit,0.0,0,high,high,429.2399999999999,338.7433034516456,0.7891699362865662
2024-02-05,Monday,0.0,snabbit,0.0,0,high,high,370.1128571428571,375.94799634675957,1.0157658376122023
2024-02-06,Tuesday,0.0,snabbit,0.0,0,high,high,269.2928571428571,365.42363929710837,1.356974868082947
2024-02-07,Wednesday,537.99,snabbit,4.93,7,medium,high,297.22428571428566,379.1632727404362,1.2756806592342742
2024-02-08,Thursday,729.65,snabbit,7.12,10,low,high,287.0199999999999,364.0012018753055,1.2682084937471452
2024-02-09,Friday,179.36,snabbit,3.0,5,high,high,206.71428571428564,304.10436826069827,1.471133778731782
2024-02-10,Saturday,2520.06,snabbit,7.37,11,high,high,566.722857142857,908.8886252032258,1.603762074791554
2024-02-11,Sunday,1889.28,snabbit,4.83,6,medium,high,836.6199999999999,989.4899800233791,1.1827233152726198
2024-02-12,Monday,254.92,snabbit,3.0,3,medium,high,873.0371428571427,957.7491782771086,1.0970314219882253
2024-02-13,Tuesday,551.99,snabbit,4.76,8,medium,high,951.892857142857,894.525086320749,0.9397329537755966
2024-02-14,Wednesday,635.6,snabbit,5.96,6,low,high,965.8371428571428,887.7326244373791,0.9191328279333774
2024-02-15,Thursday,892.55,snabbit,8.35,11,low,high,989.1085714285713,882.6296881181935,0.8923486395870677
2024-02-16,Friday,1248.96,snabbit,8.85,14,medium,high,1141.9085714285713,808.5590201180654,0.7080768463858075
2024-02-17,Saturday,831.14,snabbit,8.95,11,low,medium,900.6342857142855,534.2266860256096,0.5931671650740221
2024-02-18,Sunday,613.32,snabbit,5.73,10,low,medium,718.3542857142857,312.2328388589279,0.4346502068244272
2024-02-19,Monday,1354.48,snabbit,8.28,16,high,medium,875.4342857142856,316.7811485267159,0.3618559995833924
2024-02-20,Tuesday,356.27,snabbit,3.0,4,medium,medium,847.4742857142857,356.2641329995279,0.4203834134026309
2024-02-21,Wednesday,706.51,snabbit,10.51,15,medium,medium,857.6042857142857,350.1920171780599,0.4083375316698543
2024-02-22,Thursday,950.08,snabbit,5.2,8,low,medium,865.8228571428572,351.8201324879093,0.40634193193846396
2024-02-23,Friday,257.68,snabbit,6.89,9,medium,medium,724.2114285714285,370.88442073996526,0.5121217452637661
2024-02-24,Saturday,1924.87,snabbit,5.91,10,high,high,880.4585714285713,589.4328657681208,0.669461215888611
2024-02-25,Sunday,0.0,snabbit,0.0,0,high,high,792.8414285714285,675.1164779855544,0.851515137398918
2024-02-26,Monday,0.0,snabbit,0.0,0,high,high,599.3442857142855,681.3913693039451,1.1368947457167755
2024-02-27,Tuesday,433.64,snabbit,4.97,8,medium,high,610.3971428571429,677.4071684669987,1.1097810276375077
2024-02-28,Wednesday,661.26,snabbit,4.51,7,medium,high,603.9328571428571,676.5524950490859,1.120244555412641
2024-02-29,Thursday,879.91,snabbit,6.58,14,low,high,593.9085714285713,671.0665399304947,1.129915566492549
2024-03-01,Friday,2022.1,snabbit,12.02,18,high,high,845.9685714285713,835.0572041568687,0.9871019235935955
2024-03-02,Saturday,205.9,snabbit,3.0,5,medium,high,600.4014285714285,707.985420905181,1.1791867694081501
2024-03-03,Sunday,0.0,snabbit,0.0,0,high,high,600.4014285714285,707.985420905181,1.1791867694081501
2024-03-04,Monday,1296.33,snabbit,7.84,9,medium,high,785.5914285714285,694.169466063069,0.8836265784179859
2024-03-05,Tuesday,1596.97,snabbit,11.06,17,medium,high,951.7814285714285,733.9799101571421,0.7711643536256065
2024-03-06,Wednesday,2882.81,snabbit,11.03,24,high,high,1269.1457142857143,1014.214561896005,0.7991316918773297
2024-03-07,Thursday,0.0,snabbit,0.0,0,high,high,1143.4442857142856,1119.5540424778842,0.9791067710645144
2024-03-08,Friday,0.0,snabbit,0.0,0,high,high,854.5728571428571,1115.9233530088331,1.3058258797731586
2024-03-09,Saturday,428.6,snabbit,4.48,5,medium,high,886.3871428571429,1097.3681345794932,1.2380235243962172
2024-03-10,Sunday,66.6,snabbit,6.18,7,high,high,895.9014285714285,1088.65636435361,1.2151519460009583
2024-03-11,Monday,389.84,snabbit,5.64,6,medium,high,766.4028571428571,1086.9990836045556,1.4183129322571661
2024-03-12,Tuesday,143.85,snabbit,3.35,3,high,high,558.8142857142856,1039.6699173913673,1.8604927325049399
2024-03-13,Wednesday,0.0,snabbit,0.0,0,high,high,146.98428571428562,186.8916381094643,1.2715076118596265
2024-03-14,Thursday,0.0,snabbit,0.0,0,high,high,146.98428571428562,186.8916381094643,1.2715076118596265
2024-03-15,Friday,0.0,snabbit,0.0,0,high,high,146.98428571428562,186.8916381094643,1.2715076118596265
2024-03-16,Saturday,0.0,snabbit,0.0,0,high,high,85.75571428571422,144.6981400314887,1.6873294244788712
2024-03-17,Sunday,1319.65,snabbit,8.02,14,high,high,264.7628571428571,487.07435724997583,1.8396627174451698
2024-03-18,Monday,557.62,snabbit,3.0,3,medium,high,288.7314285714286,498.2549789826021,1.7256693580184326
2024-03-19,Tuesday,0.0,snabbit,0.0,0,high,high,268.18142857142857,508.0956662686204,1.8945967622560116
2024-03-20,Wednesday,282.0,snabbit,3.0,3,medium,high,308.46714285714285,494.2800048796334,1.6023748925134114
2024-03-21,Thursday,0.0,snabbit,0.0,0,high,high,308.46714285714285,494.2800048796334,1.6023748925134114
2024-03-22,Friday,0.0,snabbit,0.0,0,high,high,308.46714285714285,494.2800048796334,1.6023748925134114
2024-03-23,Saturday,1312.8,snabbit,9.38,18,high,high,496.00999999999993,596.2665212525918,1.202126008049418
2024-03-24,Sunday,0.0,snabbit,0.0,0,high,high,307.4885714285714,491.9456869556705,1.5998828335964608
2024-03-25,Monday,1131.18,snabbit,7.84,12,medium,high,389.4257142857142,580.36903830974,1.4903202768062056
2024-03-26,Tuesday,662.49,snabbit,3.91,4,low,high,484.0671428571428,559.9378002574426,1.1567358134503474
2024-03-27,Wednesday,96.6,snabbit,8.05,11,high,high,457.58142857142855,575.2638881541989,1.257183644778101
2024-03-28,Thursday,894.03,snabbit,8.69,12,medium,high,585.3,555.6518099493611,0.9493453100108682
