date,day_of_week,income,platform,hours_worked,orders_completed,volatility_label,volatility_label_stat,rolling_mean_7,rolling_std_7,rolling_cv_7
2024-01-01,Monday,0.0,swiggy,0.0,0,high,low,0.0,0.0,0.0
2024-01-02,Tuesday,509.46,swiggy,6.15,14,medium,high,254.73,360.24262074329846,1.414213562373095
2024-01-03,Wednesday,882.04,swiggy,7.93,23,medium,high,463.8333333333333,442.78661331767165,0.9546243909112576
2024-01-04,Thursday,0.0,swiggy,0.0,0,high,high,347.875,429.52531578476254,1.2347116515551924
2024-01-05,Friday,889.63,swiggy,8.06,22,medium,high,456.226,443.924198123959,0.9730357281784883
2024-01-06,Saturday,693.41,swiggy,3.0,11,low,high,495.75666666666666,408.694258078905,0.8243847951190537
2024-01-07,Sunday,0.0,swiggy,0.0,0,high,high,424.9342857142857,417.4963049679659,0.9824961623564522
2024-01-08,Monday,0.0,swiggy,0.0,0,high,high,424.9342857142857,417.4963049679659,0.9824961623564522
2024-01-09,Tuesday,0.0,swiggy,0.0,0,high,high,352.1542857142857,443.8778060028511,1.2604640182144018
2024-01-10,Wednesday,1639.15,swiggy,10.98,27,medium,high,460.3128571428571,642.3727114304252,1.3955132937576544
2024-01-11,Thursday,133.84,swiggy,7.67,19,high,high,479.4328571428572,628.2241878956452,1.3103486307540504
2024-01-12,Friday,1894.9,swiggy,10.72,38,medium,high,623.0428571428572,822.487334587678,1.3201135767119312
2024-01-13,Saturday,2104.64,swiggy,10.84,25,low,high,824.6471428571429,997.044050860915,1.2090553632508458
2024-01-14,Sunday,1160.17,swiggy,9.9,22,low,high,990.3857142857142,931.3814824559831,0.9404229776554419
2024-01-15,Monday,381.51,swiggy,3.0,10,medium,high,1044.8871428571429,873.1076420410467,0.8355999478121803
2024-01-16,Tuesday,2000.74,swiggy,4.53,12,medium,medium,1330.707142857143,798.3228006204488,0.5999237359667138
2024-01-17,Wednesday,1312.89,swiggy,8.85,22,low,high,1284.0985714285714,786.7538481937153,0.6126896063114877
2024-01-18,Thursday,1844.66,swiggy,11.49,28,medium,medium,1528.5014285714285,617.3727593447522,0.4039072177523331
2024-01-19,Friday,1313.38,swiggy,7.48,22,low,medium,1445.427142857143,598.6950672285603,0.41419940824214313
2024-01-20,Saturday,2399.31,swiggy,10.48,22,high,medium,1487.5228571428572,659.9925846986039,0.4436856761759461
2024-01-21,Sunday,2100.25,swiggy,11.77,39,low,medium,1621.82,677.6879655121531,0.4178564609587705
2024-01-22,Monday,922.24,swiggy,3.89,9,medium,medium,1699.0671428571427,526.7572661012638,0.31002733959970025
2024-01-23,Tuesday,1218.82,swiggy,5.36,13,low,medium,1587.3642857142856,534.9653278128461,0.33701484443573787
2024-01-24,Wednesday,1037.02,swiggy,5.53,16,low,medium,1547.9542857142858,567.7144344315246,0.3667514213247966
2024-01-25,Thursday,1002.55,swiggy,3.76,10,low,medium,1427.6528571428573,583.3698929985534,0.4086216688320463
2024-01-26,Friday,2592.52,swiggy,4.57,12,high,medium,1610.3871428571426,724.8030804688568,0.45008002186537205
2024-01-27,Saturday,955.5,swiggy,8.42,16,medium,medium,1404.1285714285716,665.9225105177676,0.47426035198489885
2024-01-28,Sunday,989.34,swiggy,9.26,28,low,medium,1245.4271428571428,601.6474953191525,0.48308526016135234
2024-01-29,Monday,525.83,swiggy,4.65,11,medium,medium,1188.797142857143,653.554342568754,0.5497610307154744
2024-01-30,Tuesday,0.0,swiggy,0.0,0,high,high,1014.6800000000001,791.9300780371963,0.7804727382398354
2024-01-31,Wednesday,1074.62,swiggy,11.82,35,medium,high,1020.0514285714286,792.234314379876,0.7766611488299093
2024-02-01,Thursday,1021.25,swiggy,5.08,10,low,high,1022.7228571428572,792.1969908786215,0.77459595759085
2024-02-02,Friday,1770.84,swiggy,7.08,28,medium,medium,905.34,542.2824414454145,0.5989820856754529
2024-02-03,Saturday,942.68,swiggy,6.83,19,low,high,903.5085714285714,542.1064238821425,0.6000014178338094
2024-02-04,Sunday,674.69,swiggy,8.77,17,low,high,858.5585714285714,546.8277662856484,0.6369137581094457
2024-02-05,Monday,0.0,swiggy,0.0,0,high,high,783.4399999999999,629.9521881063667,0.804084790292003
2024-02-06,Tuesday,0.0,swiggy,0.0,0,high,high,783.4399999999999,629.9521881063667,0.804084790292003
2024-02-07,Wednesday,2484.22,swiggy,6.75,18,high,high,984.8114285714286,904.1618776603476,0.918106605415748
2024-02-08,Thursday,0.0,swiggy,0.0,0,high,high,838.9185714285715,976.7791379567943,1.1643312846125982
2024-02-09,Friday,542.67,swiggy,11.18,29,medium,high,663.4657142857142,887.7297484380614,1.3380190254349307
2024-02-10,Saturday,704.82,swiggy,9.21,21,low,high,629.4857142857143,879.7775963627988,1.3976132839822966
2024-02-11,Sunday,692.4,swiggy,6.98,18,low,high,632.0157142857142,879.9547041345767,1.3922987739775994
2024-02-12,Monday,1114.15,swiggy,6.97,16,medium,high,791.1800000000001,846.719001538684,1.0701976813603529
2024-02-13,Tuesday,0.0,swiggy,0.0,0,high,high,791.1800000000001,846.719001538684,1.0701976813603529
2024-02-14,Wednesday,0.0,swiggy,0.0,0,high,high,436.2914285714286,443.38818005702916,1.0162660804701982
2024-02-15,Thursday,177.95,swiggy,5.97,15,high,high,461.7128571428571,418.61374582122244,0.9066538636408397
2024-02-16,Friday,1114.75,swiggy,5.66,12,medium,high,543.4385714285714,487.2669722519864,0.8966367090416066
2024-02-17,Saturday,94.77,swiggy,6.14,15,high,high,456.2885714285715,507.7184714461528,1.112713539715803
2024-02-18,Sunday,1117.65,swiggy,7.39,18,medium,high,517.0385714285715,563.0992618958206,1.0890855982755485
