date,day_of_week,income,platform,hours_worked,orders_completed,volatility_label,volatility_label_stat,rolling_mean_7,rolling_std_7,rolling_cv_7
2024-01-01,Monday,3278.94,uber,10.08,18,low,low,3278.94,0.0,0.0
2024-01-02,Tuesday,1746.94,uber,9.01,18,low,medium,2512.94,1083.287588777791,0.431083746041605
2024-01-03,Wednesday,912.39,uber,9.55,8,medium,high,1979.4233333333334,1200.2816756217408,0.6063794719447284
2024-01-04,Thursday,987.77,uber,8.75,12,low,high,1731.51,1098.3145347607244,0.6343102464096219
2024-01-05,Friday,211.87,uber,11.94,20,high,high,1427.5819999999999,1169.0090927234057,0.8188735167040533
2024-01-06,Saturday,1384.21,uber,12.8,16,medium,high,1420.3533333333335,1045.7434335565615,0.7362558379064562
2024-01-07,Sunday,1537.36,uber,7.87,8,low,high,1437.0685714285714,955.6526051069076,0.6650013952757352
2024-01-08,Monday,1685.97,uber,8.47,13,low,medium,1209.5014285714285,545.6777651211554,0.45115925639349486
2024-01-09,Tuesday,1785.63,uber,9.08,15,low,medium,1215.0285714285715,552.1858696256954,0.45446327980292855
2024-01-10,Wednesday,0.0,uber,0.0,0,high,high,1084.6871428571428,718.2429389539049,0.6621659929166323
2024-01-11,Thursday,3145.81,uber,11.83,16,medium,high,1392.9785714285715,1054.25856895464,0.7568376072529553
2024-01-12,Friday,1478.97,uber,10.94,21,medium,medium,1573.992857142857,917.5856588663222,0.5829668506450162
2024-01-13,Saturday,4146.99,uber,10.76,14,high,high,1968.6757142857143,1325.7485626600685,0.6734215051467143
2024-01-14,Sunday,1617.38,uber,7.66,11,medium,high,1980.107142857143,1321.748601849261,0.6675136780437442
2024-01-15,Monday,1502.09,uber,11.69,25,low,high,1953.8385714285716,1330.3677226044003,0.6808995083108051
2024-01-16,Tuesday,924.61,uber,8.62,14,medium,high,1830.8357142857144,1387.106044538498,0.757635452332033
2024-01-17,Wednesday,4848.98,uber,8.79,14,high,high,2523.5471428571427,1524.3944549964124,0.6040681503855337
2024-01-18,Thursday,2123.95,uber,6.5,9,medium,high,2377.567142857143,1503.6603349240174,0.632436538939151
2024-01-19,Friday,1494.89,uber,7.84,15,low,high,2379.8414285714284,1502.0859009882283,0.6311705826089012
2024-01-20,Saturday,2307.34,uber,8.47,14,medium,high,2117.0342857142855,1286.8917040017666,0.607874757950635
