date,day_of_week,income,platform,hours_worked,orders_completed,volatility_label
2024-01-01,Monday,4595.71,Zomato,11.58,29,Stable
2024-01-02,Tuesday,603.59,Zomato,5.34,12,Volatile
2024-01-03,Wednesday,3393.73,Zomato,5.99,13,Volatile
2024-01-04,Thursday,482.05,Zomato,4.56,10,Volatile
2024-01-05,Friday,1748.54,Zomato,7.5,19,Volatile
2024-01-06,Saturday,812.02,Zomato,10.25,27,Volatile
2024-01-07,Sunday,1283.15,Zomato,8.66,18,Volatile
2024-01-08,Monday,1652.01,Zomato,7.39,25,Volatile
2024-01-09,Tuesday,926.86,Zomato,6.33,14,Volatile
2024-01-10,Wednesday,1036.65,Zomato,5.74,16,Volatile
2024-01-11,Thursday,960.13,Zomato,6.38,15,Volatile
2024-01-12,Friday,702.52,Zomato,3.67,9,Volatile
2024-01-13,Saturday,1074.43,Zomato,5.47,16,Stable
2024-01-14,Sunday,927.82,Zomato,6.41,12,Stable
2024-01-15,Monday,446.32,Zomato,6.1,17,Stable
2024-01-16,Tuesday,1076.68,Zomato,6.94,18,Stable
2024-01-17,Wednesday,1110.1,Zomato,7.81,18,Stable
2024-01-18,Thursday,0.0,Zomato,0.0,0,Volatile
2024-01-19,Friday,3062.5,Zomato,10.57,19,Volatile
2024-01-20,Saturday,956.45,Zomato,8.97,22,Volatile
2024-01-21,Sunday,720.96,Zomato,4.44,9,Volatile
2024-01-22,Monday,213.73,Zomato,12.74,35,Volatile
2024-01-23,Tuesday,2059.87,Zomato,7.58,14,Volatile
2024-01-24,Wednesday,383.02,Zomato,3.0,6,Volatile
2024-01-25,Thursday,1047.03,Zomato,8.33,21,Volatile
2024-01-26,Friday,2174.2,Zomato,7.85,22,Volatile
2024-01-27,Saturday,1236.39,Zomato,7.78,14,Volatile
2024-01-28,Sunday,1852.44,Zomato,6.65,15,Volatile
2024-01-29,Monday,1789.95,Zomato,7.65,17,Volatile
2024-01-30,Tuesday,512.63,Zomato,3.36,8,Volatile
2024-01-31,Wednesday,274.19,Zomato,8.41,20,Volatile
2024-02-01,Thursday,763.98,Zomato,5.31,12,Volatile
2024-02-02,Friday,0.0,Zomato,0.0,0,Volatile
2024-02-03,Saturday,1101.87,Zomato,5.75,15,Volatile
2024-02-04,Sunday,4664.41,Zomato,7.79,20,Volatile
2024-02-05,Monday,579.27,Zomato,5.8,12,Volatile
2024-02-06,Tuesday,1213.92,Zomato,9.83,25,Volatile
2024-02-07,Wednesday,0.0,Zomato,0.0,0,Volatile
2024-02-08,Thursday,0.0,Zomato,0.0,0,Volatile
2024-02-09,Friday,1781.95,Zomato,8.09,22,Volatile
2024-02-10,Saturday,614.84,Zomato,5.79,11,Volatile
2024-02-11,Sunday,1572.63,Zomato,11.97,24,Volatile
2024-02-12,Monday,1192.02,Zomato,7.31,15,Volatile
2024-02-13,Tuesday,4120.61,Zomato,7.26,22,Volatile
2024-02-14,Wednesday,987.42,Zomato,8.54,17,Volatile
2024-02-15,Thursday,0.0,Zomato,0.0,0,Volatile
2024-02-16,Friday,0.0,Zomato,0.0,0,Volatile
2024-02-17,Saturday,1430.06,Zomato,9.03,22,Volatile
2024-02-18,Sunday,973.11,Zomato,5.7,18,Volatile
2024-02-19,Monday,797.83,Zomato,5.58,16,Volatile
2024-02-20,Tuesday,1339.85,Zomato,8.78,26,Volatile
2024-02-21,Wednesday,0.0,Zomato,0.0,0,Volatile
2024-02-22,Thursday,422.9,Zomato,7.26,16,Volatile
2024-02-23,Friday,1673.12,Zomato,8.85,26,Volatile
2024-02-24,Saturday,2881.23,Zomato,12.54,31,Volatile
2024-02-25,Sunday,0.0,Zomato,0.0,0,Volatile
2024-02-26,Monday,0.0,Zomato,0.0,0,Volatile
2024-02-27,Tuesday,6893.93,Zomato,12.22,27,Volatile
2024-02-28,Wednesday,683.27,Zomato,5.88,19,Volatile
2024-02-29,Thursday,0.0,Zomato,0.0,0,Volatile
2024-03-01,Friday,0.0,Zomato,0.0,0,Volatile
2024-03-02,Saturday,237.06,Zomato,9.01,22,Volatile
2024-03-03,Sunday,676.47,Zomato,8.29,19,Volatile
2024-03-04,Monday,642.34,Zomato,5.68,13,Volatile
2024-03-05,Tuesday,1046.0,Zomato,7.8,14,Volatile
2024-03-06,Wednesday,0.0,Zomato,0.0,0,Volatile
2024-03-07,Thursday,1746.32,Zomato,9.14,24,Volatile
2024-03-08,Friday,0.0,Zomato,0.0,0,Volatile
2024-03-09,Saturday,1713.66,Zomato,8.49,16,Volatile
2024-03-10,Sunday,0.0,Zomato,0.0,0,Volatile
2024-03-11,Monday,179.59,Zomato,3.68,10,Volatile
2024-03-12,Tuesday,2081.76,Zomato,5.61,13,Volatile
2024-03-13,Wednesday,2611.98,Zomato,7.32,19,Volatile
2024-03-14,Thursday,416.27,Zomato,3.0,8,Volatile
